route,date,daytype,rides,day,WD_WE_LW
3,01/01/2013,U,7613,Tuesday,WE
4,01/01/2013,U,9379,Tuesday,WE
3,01/02/2013,W,17148,Wednesday,WD
4,01/02/2013,W,18126,Wednesday,WD
3,01/03/2013,W,18831,Thursday,WD
4,01/03/2013,W,20493,Thursday,WD
3,01/04/2013,W,18214,Friday,WD
4,01/04/2013,W,21965,Friday,WD
3,01/05/2013,A,12411,Saturday,WE
4,01/05/2013,A,14839,Saturday,WE
3,01/06/2013,U,7984,Sunday,WE
4,01/06/2013,U,10541,Sunday,WE
3,01/07/2013,W,21067,Monday,WD
4,01/07/2013,W,24066,Monday,WD
3,01/08/2013,W,22155,Tuesday,WD
4,01/08/2013,W,23845,Tuesday,WD
3,01/09/2013,W,22317,Wednesday,WD
4,01/09/2013,W,24859,Wednesday,WD
3,01/10/2013,W,21765,Thursday,WD
4,01/10/2013,W,23328,Thursday,WD
3,01/11/2013,W,22609,Friday,WD
4,01/11/2013,W,24850,Friday,WD
3,01/12/2013,A,14125,Saturday,WE
4,01/12/2013,A,16216,Saturday,WE
3,01/13/2013,U,8366,Sunday,WE
4,01/13/2013,U,10400,Sunday,WE
3,01/14/2013,W,21473,Monday,WD
4,01/14/2013,W,23369,Monday,WD
3,01/15/2013,W,22492,Tuesday,WD
4,01/15/2013,W,24364,Tuesday,WD
3,01/16/2013,W,22887,Wednesday,WD
4,01/16/2013,W,23087,Wednesday,WD
3,01/17/2013,W,21794,Thursday,WD
4,01/17/2013,W,23598,Thursday,WD
3,01/18/2013,W,22384,Friday,WD
4,01/18/2013,W,24635,Friday,WD
3,01/19/2013,A,13400,Saturday,LW
4,01/19/2013,A,15533,Saturday,LW
3,01/20/2013,U,7882,Sunday,LW
4,01/20/2013,U,9595,Sunday,LW
3,01/21/2013,W,11029,Monday,LW
4,01/21/2013,W,12126,Monday,LW
3,01/22/2013,W,19287,Tuesday,WD
4,01/22/2013,W,20272,Tuesday,WD
3,01/23/2013,W,22514,Wednesday,WD
4,01/23/2013,W,21899,Wednesday,WD
3,01/24/2013,W,22366,Thursday,WD
4,01/24/2013,W,22595,Thursday,WD
3,01/25/2013,W,20428,Friday,WD
4,01/25/2013,W,22696,Friday,WD
3,01/26/2013,A,13256,Saturday,WE
4,01/26/2013,A,14632,Saturday,WE
3,01/27/2013,U,7215,Sunday,WE
4,01/27/2013,U,9573,Sunday,WE
3,01/28/2013,W,20035,Monday,WD
4,01/28/2013,W,23651,Monday,WD
3,01/29/2013,W,22181,Tuesday,WD
4,01/29/2013,W,24913,Tuesday,WD
3,01/30/2013,W,21802,Wednesday,WD
4,01/30/2013,W,23868,Wednesday,WD
3,01/31/2013,W,21744,Thursday,WD
4,01/31/2013,W,22136,Thursday,WD
3,02/01/2013,W,19666,Friday,WD
4,02/01/2013,W,22620,Friday,WD
3,02/02/2013,A,12189,Saturday,WE
4,02/02/2013,A,15679,Saturday,WE
3,02/03/2013,U,8255,Sunday,WE
4,02/03/2013,U,9950,Sunday,WE
3,02/04/2013,W,22484,Monday,WD
4,02/04/2013,W,24892,Monday,WD
3,02/05/2013,W,22385,Tuesday,WD
4,02/05/2013,W,25356,Tuesday,WD
3,02/06/2013,W,23518,Wednesday,WD
4,02/06/2013,W,24628,Wednesday,WD
3,02/07/2013,W,21851,Thursday,WD
4,02/07/2013,W,23125,Thursday,WD
3,02/08/2013,W,22895,Friday,WD
4,02/08/2013,W,24163,Friday,WD
3,02/09/2013,A,16578,Saturday,WE
4,02/09/2013,A,16753,Saturday,WE
3,02/10/2013,U,9323,Sunday,WE
4,02/10/2013,U,10589,Sunday,WE
3,02/11/2013,W,22614,Monday,WD
4,02/11/2013,W,24214,Monday,WD
3,02/12/2013,W,21114,Tuesday,WD
4,02/12/2013,W,21394,Tuesday,WD
3,02/13/2013,W,25550,Wednesday,WD
4,02/13/2013,W,26373,Wednesday,WD
3,02/14/2013,W,25181,Thursday,WD
4,02/14/2013,W,24757,Thursday,WD
3,02/15/2013,W,26154,Friday,WD
4,02/15/2013,W,24686,Friday,WD
3,02/16/2013,A,17717,Saturday,LW
4,02/16/2013,A,15527,Saturday,LW
3,02/17/2013,U,13941,Sunday,LW
4,02/17/2013,U,11528,Sunday,LW
3,02/18/2013,W,22208,Monday,LW
4,02/18/2013,W,20426,Monday,LW
3,02/19/2013,W,21046,Tuesday,WD
4,02/19/2013,W,22858,Tuesday,WD
3,02/20/2013,W,22650,Wednesday,WD
4,02/20/2013,W,23799,Wednesday,WD
3,02/21/2013,W,22968,Thursday,WD
4,02/21/2013,W,23730,Thursday,WD
3,02/22/2013,W,21419,Friday,WD
4,02/22/2013,W,23004,Friday,WD
3,02/23/2013,A,14812,Saturday,WE
4,02/23/2013,A,15736,Saturday,WE
3,02/24/2013,U,8961,Sunday,WE
4,02/24/2013,U,11410,Sunday,WE
3,02/25/2013,W,22947,Monday,WD
4,02/25/2013,W,24872,Monday,WD
3,02/26/2013,W,19783,Tuesday,WD
